"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
313,"Nastie","Byron Plumridge","$125,625.00","Call of Duty: Modern Warfare III","$125,625.00","100.00%","United Kingdom"
315,"herO","Kim, Joon Ho","$124,960.79","StarCraft II","$123,985.00","99.22%","Korea, Republic of"
316,"天命","An, Jiang","$124,000.00","Dota 2","$124,000.00","100.00%","China"
317,"Reiji","Maeda, Reiji","$123,953.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$123,953.13","100.00%","Japan"
318,"Muz","- -","$123,062.50","Fortnite","$123,062.50","100.00%","Australia"
319,"YiZ","Liu, Tianhao","$122,307.14","Arena of Valor","$122,307.14","100.00%","China"
320,"Dukalis","Andrey Kuropatkin","$121,333.33","Dota 2","$121,333.33","100.00%","Russian Federation"
321,"TJ","- -","$120,000.00","Madden NFL 24","$120,000.00","100.00%","United States"
322,"Cyber","Jaime Ramos","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
322,"Handyy","Thiago Sa Ferreira","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
322,"KDS","Eduardo Chiste Fontes Santos","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
322,"soulz1","Lucas Schinke","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
322,"VITAKING","Vitor Corrêa","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
327,"Baby","Song, Hongqi","$119,594.65","CrossFire","$119,594.65","100.00%","China"
328,"K1","Hector Antonio Rodriguez","$117,119.40","Dota 2","$117,119.40","100.00%","Peru"
329,"Karon","Won-tae, Kim","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
329,"Lakia","Kim, Jong Min","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
329,"Meteor","Kim, Tae-O","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
329,"Munchkin","Byeon, Sang-beom","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
329,"t3xture","Kim, Na-ra","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
334,"Silver","Huang, Benshuai","$116,532.00","Arena of Valor","$116,532.00","100.00%","China"
335,"LilGhost","Luo, Shengjun","$116,425.71","PLAYERUNKNOWN’S BATTLEGROUNDS","$116,425.71","100.00%","China"
